epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
0,0.0884178776293993,0.01,0.017882507648319005,0.06780774965882301,0.01489962711930275
1,0.0649262385815382,0.01,0.014916627146303653,0.06378038972616196,0.014842745196074248
2,0.06333033349364996,0.01,0.01478771715424955,0.0617310706526041,0.014561659190803766
3,0.06119908209890127,0.01,0.01465578692033887,0.05993730165064335,0.014837568346410989
4,0.058877320177853104,0.01,0.014683498991653323,0.057503358274698255,0.014598079025745392
5,0.057319594621658324,0.01,0.014737234078347683,0.056234254688024524,0.014345904067158698
6,0.055346978344023225,0.01,0.014806446554139256,0.054588689282536504,0.014681217353790998
7,0.05376852370798588,0.01,0.014938278961926699,0.05247671529650688,0.015008140541613101
8,0.052627343982458115,0.01,0.015062485737726092,0.051374337449669835,0.015703288838267326
9,0.05124752335250378,0.01,0.015195290176197886,0.05084800012409687,0.016418727301061153
10,0.049187256917357446,0.01,0.01532823471352458,0.048501009866595265,0.01501369010657072
11,0.04837857097387314,0.01,0.015285073406994342,0.04921149238944054,0.015125366486608982
12,0.0473967270180583,0.01,0.015310754822567106,0.04636149033904076,0.01571565680205822
13,0.04619055591523647,0.01,0.015565914893522858,0.04546720460057259,0.015507454425096512
14,0.046369289495050904,0.01,0.015506571410223841,0.04736515581607818,0.015066352859139442
15,0.045709086284041404,0.01,0.015610295776277781,0.045708256959915164,0.015710129961371423
16,0.04457657739520073,0.01,0.015728482576087117,0.04366093762218952,0.015766073670238256
17,0.04340273890644312,0.01,0.015925080412998796,0.04247134886682034,0.015876302123069765
18,0.0450650930032134,0.01,0.01587067405693233,0.04417988136410713,0.016520672757178546
19,0.043949052281677725,0.01,0.015927366064861417,0.04394640363752842,0.015526027325540781
