epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
0,0.2604207094758749,0.01,0.02131231562234461,0.24746761620044708,0.015353400073945523
1,0.24983037449419498,0.01,0.015499990060925483,0.24746762663125993,0.015353399980813264
2,0.24983037523925306,0.01,0.015499989991076291,0.24746762663125993,0.015353399887681007
0,0.29085082523524763,0.01,0.041971166618168354,0.2474676251411438,0.015353400073945523
1,0.24983085468411445,0.01,0.01550002999138087,0.24746762067079545,0.015353400073945523
2,0.24983053021132945,0.01,0.015500020049512387,0.24746762365102767,0.015353399980813264
3,0.24983228743076324,0.01,0.015500140050426126,0.24746825844049453,0.015353439934551716
4,0.24983053505420685,0.005,0.015500019979663193,0.2474682569503784,0.015353440120816231
0,0.12321545518934726,0.01,0.029954399657435717,0.0791133999824524,0.015258626081049442
1,0.07827757447957992,0.01,0.015164196002297103,0.07759536653757096,0.015194137673825025
2,0.0760685445740819,0.01,0.01508931564167142,0.0733772374689579,0.01502844924107194
3,0.07089549880474806,0.01,0.014829778065904974,0.06923822090029716,0.01494196243584156
4,0.06786889731884002,0.01,0.014705343125388026,0.06822649016976357,0.014684315957129001
5,0.06820607520639896,0.01,0.01472192204091698,0.06989539042115211,0.014854393433779478
6,0.06775959134101868,0.01,0.014678889838978647,0.0669479377567768,0.014643537160009146
7,0.06694144699722529,0.01,0.0146485248580575,0.06639790013432503,0.01475998004898429
8,0.06550715398043394,0.01,0.014576775743626058,0.06585086584091186,0.014626404084265233
9,0.06466296883299946,0.01,0.014509220025502145,0.06525925770401955,0.014523696526885033
10,0.06361280027776957,0.01,0.014450767659582198,0.06373111009597779,0.014492650516331196
11,0.062313364911824466,0.01,0.014407198154367506,0.06179331131279468,0.014447232149541378
12,0.06120401350781322,0.01,0.014447178947739303,0.06122013032436371,0.014908828306943178
13,0.060490157920867205,0.01,0.014497854071669281,0.05980760753154755,0.014606865122914314
14,0.0594344106502831,0.01,0.014507262548431755,0.060508408769965175,0.014342710189521313
15,0.059657443035393956,0.01,0.014396650693379342,0.05914146266877651,0.014708848018199206
16,0.057429881393909456,0.01,0.01446491361130029,0.056681782752275464,0.014694712590426207
17,0.05559572698548436,0.01,0.014783176500350237,0.05634020082652569,0.01577407531440258
18,0.05422967905178666,0.01,0.014967288170009852,0.05461626835167408,0.015866582468152046
19,0.053387449495494364,0.01,0.015061708283610642,0.053294813632965087,0.015409092418849468
20,0.05212588803842664,0.01,0.015236505214124918,0.05205373354256153,0.015355399623513222
21,0.0510474881157279,0.01,0.015439754212275147,0.050957852974534035,0.015565257146954536
22,0.050307154282927515,0.01,0.01567586390301585,0.050448435544967654,0.015930977929383517
23,0.04898069007322192,0.01,0.01589108279440552,0.048977358639240264,0.016813076101243496
24,0.0474538205191493,0.01,0.016229333938099444,0.047983667254447936,0.016088874731212854
25,0.0467173982411623,0.01,0.016256367531605066,0.046975528821349144,0.016093163192272185
26,0.0454150996170938,0.01,0.01657590186223388,0.045994071289896965,0.017161876335740088
27,0.044952445570379494,0.01,0.01666300743818283,0.045490919053554534,0.017145555838942526
28,0.044016029592603444,0.01,0.016869592503644525,0.04477475471794605,0.017273068986833097
29,0.1218019112944603,0.01,0.026754621020518243,0.2492496505379677,0.015466719958931207
30,0.24794720932841302,0.01,0.015384999429807067,0.2487938031554222,0.015435719955712556
31,0.24774861782789231,0.01,0.0153708899859339,0.24879953265190125,0.015436080098152161
32,0.24774829894304276,0.005,0.015370940021239222,0.24880081862211229,0.015436119865626097
33,0.24774829782545565,0.005,0.015370930056087672,0.2488001748919487,0.015436080191284418
34,0.247748139873147,0.005,0.015370920044369995,0.24880017936229706,0.015436080191284418
35,0.24774829745292665,0.005,0.015370930056087672,0.24880017787218095,0.015436079911887645
36,0.24774829633533954,0.005,0.01537092993967235,0.2488001763820648,0.015436079911887645
37,0.2477482981979847,0.005,0.015370930195786059,0.24880017936229706,0.015436080098152161
38,0.2477482981979847,0.005,0.01537092993967235,0.24880018085241318,0.015436079911887645
39,0.2477482993155718,0.005,0.01537092998623848,0.2488001689314842,0.015436080098152161
40,0.24774830006062984,0.005,0.01537092998623848,0.2488001689314842,0.015436080005019902
41,0.24774829857051373,0.005,0.01537092998623848,0.24880017340183258,0.015436080005019902
42,0.2477482959628105,0.005,0.015370930079370737,0.24880017787218095,0.015436080098152161
43,0.24774829521775246,0.005,0.015370930079370737,0.24880017787218095,0.015436080098152161
44,0.2477482955902815,0.005,0.015370930056087672,0.2488001763820648,0.015436080191284418
45,0.2477482981979847,0.005,0.01537092998623848,0.2488001763820648,0.015436080005019902
46,0.2477482970803976,0.005,0.015370930032804608,0.2488001763820648,0.015436079911887645
47,0.2477482944726944,0.005,0.01537092998623848,0.24880018085241318,0.015436080098152161
48,0.2477482993155718,0.005,0.015370929962955415,0.24880017936229706,0.015436080098152161
49,0.2477482959628105,0.005,0.01537092993967235,0.2488001748919487,0.015436080005019902
