epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
0,0.27554439306259154,0.01,0.025006892043165863,0.2605858236551285,0.016167280450463294
1,0.2619763270020485,0.01,0.016253549978137015,0.2605858206748962,0.016167280077934266
2,0.2619763284921646,0.01,0.016253550071269274,0.26058581918478013,0.01616728017106652
3,0.26197633147239685,0.01,0.01625355000142008,0.2605858206748962,0.016167280077934266
4,0.261976332962513,0.005,0.016253550024703144,0.260585817694664,0.01616728026419878
5,0.2619763292372227,0.005,0.016253549978137015,0.26058581918478013,0.016167279984802007
6,0.2619763247668743,0.005,0.01625355021096766,0.26058581471443176,0.016167280077934266
7,0.26197633147239685,0.005,0.01625355004798621,0.2605858162045479,0.016167279984802007
8,0.2619763262569904,0.005,0.016253550094552337,0.260585817694664,0.016167280077934266
9,0.26197633035480977,0.005,0.01625355004798621,0.260585817694664,0.01616727989166975
10,0.26197632886469363,0.005,0.016253549861721693,0.2605858206748962,0.01616727989166975
11,0.2619763299822807,0.005,0.016253550024703144,0.2605858206748962,0.016167280077934266
12,0.2619763296097517,0.005,0.016253550141118466,0.2605858236551285,0.016167280077934266
13,0.26197633109986784,0.005,0.016253549908287823,0.260585817694664,0.016167280077934266
14,0.2619763322174549,0.005,0.01625355000142008,0.2605858132243156,0.01616727989166975
15,0.261976333707571,0.005,0.01625354993157089,0.2605858281254768,0.01616728017106652
16,0.26197633147239685,0.005,0.01625354993157089,0.26058582663536073,0.01616727989166975
17,0.26197633109986784,0.005,0.016253549861721693,0.26058582216501236,0.016167279984802007
18,0.2619763258844614,0.005,0.016253550117835403,0.26058582216501236,0.016167279984802007
19,0.2619763296097517,0.005,0.016253550024703144,0.2605858251452446,0.01616728017106652
20,0.26197633184492586,0.005,0.01625354988500476,0.2605858206748962,0.016167279984802007
21,0.26197632774710655,0.005,0.016253549978137015,0.26058581471443176,0.016167280077934266
22,0.2619763299822807,0.005,0.016253550164401533,0.2605858206748962,0.016167280077934266
23,0.26197632737457754,0.005,0.01625355004798621,0.26058582216501236,0.016167280077934266
24,0.26197633035480977,0.005,0.016253550187684596,0.2605858251452446,0.016167280077934266
25,0.26197632439434526,0.005,0.016253550024703144,0.26058580726385117,0.016167279984802007
26,0.2619763299822807,0.005,0.016253549954853952,0.2605858206748962,0.016167279705405234
27,0.2619763344526291,0.005,0.016253550071269274,0.2605858162045479,0.016167279984802007
28,0.2619763284921646,0.005,0.01625354974530637,0.26058582216501236,0.016167279798537493
29,0.26197632774710655,0.005,0.016253550071269274,0.260585817694664,0.016167280077934266
30,0.2619763258844614,0.005,0.016253549954853952,0.2605858251452446,0.01616728017106652
31,0.26197632886469363,0.005,0.01625355000142008,0.26058582216501236,0.016167279705405234
32,0.261976332962513,0.005,0.016253550094552337,0.2605858162045479,0.016167280077934266
33,0.2619763284921646,0.005,0.016253549908287823,0.2605858251452446,0.016167279984802007
34,0.2619763296097517,0.005,0.016253550117835403,0.2605858206748962,0.016167279984802007
35,0.26197633184492586,0.005,0.01625355000142008,0.26058582961559296,0.016167279705405234
36,0.261976332962513,0.005,0.0162535497918725,0.2605858281254768,0.016167279984802007
37,0.26197633184492586,0.005,0.01625354993157089,0.260585817694664,0.01616727989166975
38,0.26197633035480977,0.005,0.016253549908287823,0.26058582216501236,0.016167279798537493
39,0.26197633184492586,0.005,0.01625354988500476,0.26058581918478013,0.016167279984802007
40,0.261976333335042,0.005,0.016253549978137015,0.2605858206748962,0.016167280077934266
41,0.261976333707571,0.005,0.016253549978137015,0.2605858206748962,0.016167280077934266
42,0.26197632774710655,0.005,0.016253549861721693,0.2605858236551285,0.016167279984802007
43,0.2619763299822807,0.005,0.01625354993157089,0.2605858206748962,0.01616727989166975
44,0.2619763255119324,0.005,0.016253549978137015,0.26058581918478013,0.01616728017106652
45,0.26197632737457754,0.005,0.01625354993157089,0.2605858236551285,0.016167280077934266
46,0.2619763299822807,0.005,0.01625355004798621,0.2605858206748962,0.01616727989166975
47,0.2619763344526291,0.005,0.016253549954853952,0.26058582961559296,0.01616727989166975
48,0.26197633184492586,0.005,0.016253549908287823,0.260585817694664,0.01616727989166975
49,0.2619763296097517,0.005,0.01625355004798621,0.260585817694664,0.01616727961227298
