epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
0,0.1577539522200823,0.01,0.020706955133937298,0.13837327659130097,0.008584959898144007
1,0.14032098948955535,0.01,0.008705799956806004,0.13837327808141708,0.00858495980501175
2,0.14032098948955535,0.01,0.008705799956806004,0.1383732795715332,0.008584960084408521
3,0.14032099023461342,0.01,0.008705799910239875,0.1383732810616493,0.008584959991276264
4,0.14032098911702634,0.005,0.008705799956806004,0.1383732810616493,0.008584959898144007
5,0.14032098911702634,0.005,0.008705799980089069,0.13837327659130097,0.008584959991276264
6,0.1403209887444973,0.005,0.008705800003372132,0.13837328255176545,0.008584959898144007
7,0.14032098948955535,0.005,0.008705800049938262,0.1383732810616493,0.008584960084408521
8,0.14032099023461342,0.005,0.008705800026655197,0.1383732795715332,0.00858495980501175
9,0.14032099060714245,0.005,0.008705800003372132,0.1383732810616493,0.008584959991276264
10,0.14032099172472953,0.005,0.008705800049938262,0.13837327659130097,0.008584959991276264
11,0.14032098799943923,0.005,0.008705800049938262,0.13837327808141708,0.008584959991276264
12,0.1403209924697876,0.005,0.008705800026655197,0.13837327659130097,0.008584959991276264
13,0.14032098986208438,0.005,0.008705800003372132,0.1383732795715332,0.008584960084408521
14,0.14032098911702634,0.005,0.008705800003372132,0.13837328404188157,0.008584960084408521
15,0.14032098986208438,0.005,0.008705800026655197,0.1383732795715332,0.008584959991276264
16,0.14032099023461342,0.005,0.00870579993352294,0.1383732795715332,0.008584959991276264
17,0.1403209887444973,0.005,0.008705799956806004,0.13837327659130097,0.00858495980501175
18,0.14032099172472953,0.005,0.008705800073221326,0.13837327808141708,0.008584960084408521
19,0.14032099172472953,0.005,0.008705799980089069,0.13837328255176545,0.008584959991276264
20,0.14032099172472953,0.005,0.008705800049938262,0.13837327659130097,0.008584959898144007
21,0.1403209887444973,0.005,0.008705800119787454,0.1383732795715332,0.008584959991276264
22,0.14032099060714245,0.005,0.008705800026655197,0.13837328255176545,0.008584960084408521
23,0.14032099023461342,0.005,0.008705799980089069,0.13837328255176545,0.008584959991276264
24,0.14032098986208438,0.005,0.008705800049938262,0.13837328255176545,0.008584959991276264
25,0.14032099358737468,0.005,0.008705799980089069,0.1383732795715332,0.008584960084408521
26,0.14032099023461342,0.005,0.008705800003372132,0.13837327808141708,0.008584959898144007
27,0.14032098837196827,0.005,0.008705800049938262,0.1383732810616493,0.008584960084408521
28,0.1403209887444973,0.005,0.008705800026655197,0.13837327659130097,0.008584960084408521
29,0.1403209913522005,0.005,0.008705799980089069,0.13837327808141708,0.008584960084408521
30,0.14032098948955535,0.005,0.008705800096504391,0.13837328553199768,0.008584959898144007
31,0.1403209913522005,0.005,0.008705800003372132,0.1383732810616493,0.008584959898144007
32,0.1403209887444973,0.005,0.008705800026655197,0.1383732795715332,0.008584959991276264
33,0.14032098948955535,0.005,0.008705799956806004,0.13837327808141708,0.008584959991276264
34,0.14032098911702634,0.005,0.008705800073221326,0.13837327808141708,0.008584959898144007
35,0.14032099023461342,0.005,0.008705800073221326,0.13837327808141708,0.008584960084408521
36,0.14032099023461342,0.005,0.008705800003372132,0.13837328255176545,0.008584959991276264
37,0.14032099209725857,0.005,0.008705800003372132,0.13837327659130097,0.008584960084408521
38,0.14032099172472953,0.005,0.008705799956806004,0.13837328404188157,0.008584959991276264
39,0.1403209913522005,0.005,0.008705800026655197,0.1383732810616493,0.00858495980501175
40,0.14032098986208438,0.005,0.008705800049938262,0.1383732810616493,0.008584959991276264
41,0.1403209887444973,0.005,0.008705800003372132,0.13837328255176545,0.008584960084408521
42,0.14032099042087792,0.005,0.008705800015013665,0.13837328255176545,0.008584960084408521
43,0.14032098837196827,0.005,0.008705799980089069,0.1383732795715332,0.00858496017754078
44,0.14032098837196827,0.005,0.008705799956806004,0.1383732795715332,0.008584959898144007
45,0.14032099060714245,0.005,0.008705800049938262,0.1383732795715332,0.008584960084408521
46,0.14032098948955535,0.005,0.008705800003372132,0.1383732795715332,0.008584959991276264
47,0.14032098986208438,0.005,0.00870579993352294,0.13837328255176545,0.008584959991276264
48,0.1403209887444973,0.005,0.008705800026655197,0.13837328255176545,0.00858495980501175
49,0.14032099060714245,0.005,0.008705800073221326,0.1383732810616493,0.008584960084408521
