epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
0,0.4176225910584132,0.01,0.028192756262918315,0.4184877276420593,0.02596383970230818
1,0.41417580478721194,0.01,0.02569631992114915,0.4184877187013626,0.025963840074837208
2,0.41417580776744417,0.01,0.02569632004532549,0.41848772168159487,0.025963839888572694
0,0.15320305240650972,0.01,0.03310569990426302,0.12061328689257304,0.025290291756391525
1,0.11961270049214363,0.01,0.025030771363526584,0.11974034334222476,0.025168032695849735
2,0.11848213610549768,0.01,0.02494775162388881,0.1187390424311161,0.02506263709316651
3,0.11690043521424134,0.01,0.024840388322869937,0.11581229294339816,0.02499432365099589
4,0.11217947440842788,0.01,0.02448820387944579,0.1100873239338398,0.024457940521339577
5,0.10883086547255516,0.01,0.02412941977381706,0.10666051382819812,0.023933034390211105
6,0.10524742056926091,0.01,0.02371026122321685,0.10568794483939807,0.023859091723958652
7,0.10368143146236737,0.01,0.023446427565068005,0.10409553721547127,0.023491609531144302
8,0.10139839860300223,0.01,0.023109949349115293,0.10139999911189079,0.023196634526054066
9,0.09990445151925087,0.01,0.022879324046274026,0.09942307819922765,0.023011821322143078
10,0.09701800383627415,0.01,0.022324580885469913,0.09485875194271405,0.022091505738596123
11,0.0941246988872687,0.01,0.02192742082600792,0.09320521851380666,0.021987507430215675
12,0.09173951173822086,0.01,0.021588780265301467,0.09210661674539249,0.021774055746694405
13,0.09062120442589124,0.01,0.02141943611204624,0.08967497820655505,0.021332510747015476
14,0.08893017123142878,0.01,0.021186384713898103,0.08878552541136742,0.0212754358847936
15,0.08807784641782443,0.01,0.02106020860373974,0.08837159971396129,0.021318249093989532
16,0.08648579592506091,0.01,0.020796916075050832,0.08708987881739934,0.02107575846215089
17,0.08557337137560049,0.01,0.020640716111908358,0.08638252442081769,0.02085071274389823
18,0.08493809091548125,0.01,0.020516936698307595,0.08436524743835132,0.020358677953481674
19,0.08343712737162907,0.01,0.02021295465528965,0.08467625950773557,0.02060421338925759
20,0.08272563355664413,0.01,0.020094262560208638,0.0846939670542876,0.02042804565280676
21,0.08344408224026362,0.01,0.0201904839836061,0.08409767970442772,0.020397834790249664
22,0.0820720475167036,0.01,0.019919616573800644,0.08287940795222919,0.020152163381377857
23,0.08100467349092165,0.01,0.01969644846394658,0.08230481172601382,0.020098323312898476
24,0.0804254025220871,0.01,0.01958554337422053,0.08132154618700345,0.019744982322057087
